Nome da Planta;Tipo;Nome Popular 1;Nome Popular 2;Nome Popular 3;Tempo de Colheita (Em Dias);Frequência de Rega (Em Dias);Quantidade de Sol;Planta que Cresce Bem Junto 1;Planta que Cresce Bem Junto 2;Planta que Cresce Bem Junto 3;Planta que Cresce Mal Junto 1;Planta que Cresce Mal Junto 2;Planta que Cresce Mal Junto 3;Fonte 1;Fonte 2;Fonte 3
Abóbora ornamental;Alimentícia;Abobrinha;Abóbora-de-tortéi;Abóbora-coração-de-boi;90;7;Sol Plano;Cerca-viva;;;;;;BARBIERI, 2012;FISCHER et al., 2012;
Monjoleiro;Agroflorestais;Espinheiro-preto;Angico-branco;Gorocaia;Sazonal: Mar-Out;7;Sol Pleno;Plantas de Sombra;;;;;;CARVALHO, 2008;;
Alface;Alimentícia;Alface crespa;;;40;3;Sol Pleno;Abacateiro;;;;;;OLIVEIRA et al., 2018;BOITEUX et al., 2017;EMBRAPA, 1990
Alho;Alimentícia;;;;125;3;Sol Pleno;;;;;;;RESENDE & GUERRA, 2012;COLTRI & MIKI, 1987;
Amendoim-bravo;Agroflorestais;Amendoim;Ibiraró;Bálsamo;Sazonal: Mai-Ago;7;Sol Pleno;Frutíferas;Árvores de Crescimento Lento;;Povoamentos puros;;;CARVALHO, 2003;;
Andiroba;Agroflorestais;Jandiroba;Nandiroba;Penaíba;Sazonal: Set-Jan;5;Sol Pleno;Açaizeiro;Ucuúba;;;;;CARVALHO, 2014;;
Angico;Agroflorestais;Angico-paniculata;Unha-de-gato;;Sazonal: Mai-Jun;5;Sol Pleno;Frutíferas;Árvores de Crescimento Lento;;;;;CARVALHO, 2003;;
Angico-branco;Agroflorestais;Angico-liso;Curupaí;Cambuí;Sazonal: Jul-Nov;7;Sol Pleno;Culturas Agrícolas;Povoamentos puros;;Plantas de Sombra;;;CARVALHO, 2003;;
Angico-cascudo;Agroflorestais;Angico-do-campo;Angico-do-cerrado;Angico-preto;Sazonal: Ago-Nov;7;Sol Pleno;Frutíferas;Árvores de Crescimento Lento;Leucena;;;;CARVALHO, 2003;;
Angico-gurucaia;Agroflorestais;Angelim-amarelo;Corocaia;Cambuí;Sazonal: Jun-Nov;7;Meia-Sombra;Culturas Agrícolas;Plantas de Sombra;Acácia-negra;;;;CARVALHO, 2003;;
Angico-vermelho;Agroflorestais;Angico-da-mata;Aperta-ruão;;Sazonal: Abr-Out;15;Sol Pleno;Plantas de Sombra;Hortaliças e Folhosas;;;;;CARVALHO, 2003;;
Araribá-amarelo;Agroflorestais;Araraúva;Carijó;Mutumunju;Sazonal: Abr-Out;3;Sol Pleno;Culturas Agrícolas;;;;;;CARVALHO, 2003;;
Araribá-rosa;Agroflorestais;Iriribá;Escovinha;Putumuju;Sazonal: Jul-Ago;7;Meia-Sombra;Culturas Agrícolas;Plantas de Sombra;Cacaueiro;;;;CARVALHO, 2003;;
Araticum-cagão;Agroflorestais;Anona-cagona;Fruto-da-quaresma;Marolo;Sazonal: Dez-Mar;7;Sol Pleno;Culturas Agrícolas;;;;;;CARVALHO, 2003;;
Araticum-da-mata;Agroflorestais;Araticum;Cortiça-Amarela;Pasmada-do-Mato;Sazonal: Jan-Mar;5;Sol Pleno;;;;;;;Carvalho, 2008;;
Araticum-de-porco;Agroflorestais;Ariticum-de-cavalo;Corticeira-de-comer;Araticum-alvadio;Sazonal: Nov;5;Sol Pleno;Culturas Agrícolas;;;;;;;;
Aroeira-pimenteira;Agroflorestais;Abacaíba;Aguaraíba;Araguaraíba;Sazonal: Ago-Mar;7;Sol Pleno;Culturas Agrícolas;Plantas de Sombra;Hortaliças e Folhosas;;;;CARVALHO, 2003;;
Aroeira-salsa;Agroflorestais;Aroeira-periquita;Anacauíta;Amescla;Sazonal: Dez-Fev;15;Sol Pleno;Culturas Agrícolas;Plantas de Sombra;Hortaliças e Folhosas;;;;CARVALHO, 2003;;
Aroeira-verdadeira;Agroflorestais;Aderno;Almecega;Arendeúva;Sazonal: Ago-Nov;7;Sol Pleno;Candiúva;Angico-vermelho;Pinheiro-do-caribe;Povoamento puro;;;;;
Arruda;Religiosidades;Arruda doméstica;Arruda dos jardins;Ruta;120;7;Sol Pleno;;;;;;;RODRIGUES & GONZAGA, 2001;;
Bacupari;Agroflorestais;Mucuri;Bacoparé;Bacuri;Sazonal: Nov-Fev;7;Sol Pleno;Povoamento puro;;;;;;CARVALHO, 2014;;
Braúna-do-sertão;Agroflorestais;Baraúna;Chamacoco;Pau-preto;Sazonal: Ago-Set;15;Sol Pleno;Hortaliças e Folhosas;;;;;;CARVALHO, 2008;;
Banana nanica;Alimentícia;;;;300;7;Sol Pleno;Brócolis;;;;;;POLETTO et al., 2020;GONZAGA NETO, 1995;
Baobá;Religiosidades;Ximuio;Embondeiro;Mulapa;N/A;15;Sol Pleno;;;;;;;MACHADO & AMARAL, 2014;;
Baru;Agroflorestais;Coco-Pereba;Baru;Castanha-de-Burro;Sazonal: Set-Out;15;Sol Pleno;Cultura agrícola;Plantas de Sombra;;;;;CARVALHO, 2003;;
Batata;Alimentícia;;;;;100;;;;;;;;SILVA, G. O. da et al., 2024;;
Begônia-rex;Ornamentais;;;;;;;;;;;;;;;
Bicuíba;Agroflorestais;Árvore-de-sebo;Bocuba;Bucuva;Sazonal: Out-Fev;7;Meia-Sombra;Cultura agrícola;;;;;;CARVALHO, 2003;;
Bonsai;Religiosidades;;;;;;;;;;;;;;;
Brócolis;Alimentícia;;;;;;;;;;;;;;;
Bromélia-imperial;Ornamentais;;;;;;;;;;;;;;;
Buriti-palito;Agroflorestais;Buriti-carandá;Carandá;Palmeira-de-leque;Sazonal: Out-Dez;7;Sol Pleno;;;;;;;CARVALHO,2010;;
Cambará;Agroflorestais;Balieira-preta;Candeia;Erva-d’ouro;Sazonal: Mar-Mai;7;Sol Pleno;;;;;;;CARVALHO, 2003;;
Calêndula;Ornamentais;;;;;;;;;;;;;;;
Camomila;Medicinais/Chás;;;;;;;;;;;;;;;
Cebola;Alimentícia;;;;;;;;;;;;;;;
Cenoura;Alimentícia;;;;;;;;;;;;;;;
Chá-preto;Medicinais/Chás;;;;;;;;;;;;;;;
Chá-verde;Medicinais/Chás;;;;;;;;;;;;;;;
Ciclame;Ornamentais;;;;;;;;;;;;;;;
Couve-flor;Alimentícia;;;;;;;;;;;;;;;
Cúrcuma;Medicinais/Chás;;;;;;;;;;;;;;;
Cuvatã;Agroflorestais;Camboatã;Gragoatã;Pau-de-cantil;Sazonal: Nov-Dez;7;Sombra;;;;Povoamento puro;;;CARVALHO, 2006;;
Dália;Ornamentais;;;;;;;;;;;;;;;
Embaúba;Agroflorestais;Torém;Árvore-da-preguiça;Preguiceira;Sazonal: Mai-Jun;7;Sol Pleno;;;;;;;CARVALHO, 2006;;
Erva-cidreira;Medicinais/Chás;;;;;;;;;;;;;;;
Erva-doce;Medicinais/Chás;;;;;;;;;;;;;;;
Erva-mate;Agroflorestais;Caáguaçu;Carvalho-branco;Caúna;Sazonal: Mar;7;Sombra;Frutíferas;Árvores de Crescimento Lento;Pinheiro-do-paraná;;;;CARVALHO, 2003;;
Espada-de-São-Jorge;Religiosidades;;;;;;;;;;;;;;;
Espinafre;Alimentícia;;;;;;;;;;;;;;;
